id_producto,nombre,categoria,precio
1,Purpose Brother,Hogar,29.89
2,Ago Site,Deportes,248.66
3,Face Election,Ropa,737.78
4,Dog Chair,Jardín,91.5
5,Since Blue,Belleza,36.62
6,Require Sit,Hogar,222.54
7,Wait Offer,Jardín,604.0
8,Begin Performance,Jardín,202.84
9,Knowledge Almost,Jardín,422.42
10,All Better,Libros,591.31
11,Discover Early,Electrónica,760.01
12,Mouth Play,Ropa,699.64
13,Agreement Option,Juguetes,281.48
14,Decide Sense,Alimentos,957.42
15,Rate Science,Juguetes,106.7
16,Offer Kind,Belleza,101.23
17,Discussion List,Juguetes,605.7
18,Perform Fall,Electrónica,731.08
19,Table True,Jardín,129.2
20,According Song,Belleza,83.41
21,Sure Collection,Deportes,830.25
22,Save Knowledge,Automotriz,886.02
23,Grow Fall,Juguetes,579.46
24,Clearly Dinner,Hogar,50.59
25,Source Great,Alimentos,774.2
26,Blue Best,Hogar,856.03
27,Husband Bill,Hogar,383.22
28,Her Throw,Libros,637.5
29,Guy Pm,Juguetes,166.84
30,Everything Surface,Juguetes,213.46
31,Animal Show,Deportes,703.3
32,Machine Not,Hogar,611.08
33,Capital Win,Ropa,536.46
34,Human Bar,Alimentos,167.58
35,Old Finally,Belleza,273.6
36,Themselves Production,Jardín,223.51
37,Present Value,Juguetes,843.63
38,Training High,Electrónica,232.9
39,Participant Dark,Electrónica,806.01
40,Sea Available,Belleza,271.4
41,Answer Recently,Alimentos,913.56
42,Drive Spring,Automotriz,876.98
43,Figure Base,Juguetes,216.56
44,Top Early,Libros,398.65
45,Trial Blood,Libros,147.16
46,Fall Long,Ropa,250.39
47,Prove They,Jardín,541.28
48,His Commercial,Automotriz,431.29
49,Hospital Hear,Automotriz,402.4
50,Determine Religious,Alimentos,997.33
51,Example Science,Ropa,511.97
52,Write Result,Hogar,757.0
53,Raise Away,Hogar,157.08
54,Politics Prove,Ropa,793.11
55,Congress None,Belleza,598.42
56,Shoulder Election,Belleza,384.71
57,Common Maintain,Libros,531.46
58,Hundred Expect,Jardín,861.47
59,Wish Push,Electrónica,681.88
60,Rise Onto,Hogar,683.3
61,Discuss Reveal,Jardín,752.12
62,Garden Threat,Juguetes,115.99
63,Special Stand,Belleza,162.37
64,Arrive Drop,Electrónica,954.04
65,Term Almost,Deportes,972.02
66,Support Four,Ropa,510.14
67,Institution Executive,Hogar,871.16
68,Attorney Development,Deportes,842.45
69,White Yes,Jardín,610.92
70,Our Under,Ropa,377.04
71,Serious Forward,Ropa,541.68
72,Difference Reality,Jardín,918.89
73,Money Individual,Automotriz,327.53
74,Usually Who,Electrónica,116.31
75,Question Low,Juguetes,879.32
76,Character Evidence,Deportes,243.25
77,Chair Employee,Alimentos,878.61
78,Size Option,Hogar,90.22
79,Nothing Everyone,Libros,816.93
80,Skin Pattern,Jardín,767.0
81,Later Water,Ropa,661.45
82,Past Inside,Jardín,169.3
83,High Discuss,Jardín,873.06
84,Certainly Mr,Belleza,964.53
85,Minute Benefit,Jardín,756.48
86,Someone Anyone,Alimentos,714.38
87,Traditional Break,Belleza,995.16
88,Claim Product,Juguetes,440.91
89,Collection Structure,Jardín,454.22
90,Response Knowledge,Alimentos,228.57
91,Pick Attack,Juguetes,25.93
92,Image I,Jardín,233.96
93,Management Newspaper,Alimentos,12.15
94,Enter On,Electrónica,232.79
95,Yes Activity,Electrónica,860.33
96,Set Building,Hogar,516.58
97,Rest Value,Deportes,670.63
98,Not Social,Alimentos,541.53
99,Specific Put,Automotriz,578.32
100,Brother Finally,Alimentos,785.69
101,Learn Coach,Belleza,194.46
102,Long About,Hogar,660.68
103,Seven Type,Juguetes,426.46
104,Serve Everyone,Libros,864.51
105,Month Sound,Electrónica,674.99
106,Could Movement,Hogar,65.31
107,While Born,Juguetes,801.58
108,Truth Process,Hogar,252.41
109,Fire Thought,Alimentos,538.6
110,Movement Politics,Ropa,424.77
111,Hour Sound,Deportes,465.31
112,Color Notice,Hogar,445.91
113,Start Win,Jardín,102.42
114,Nice Why,Jardín,836.84
115,A Place,Hogar,926.73
116,Game Middle,Alimentos,170.48
117,After Brother,Libros,483.95
118,Woman Him,Belleza,902.92
119,Unit Theory,Ropa,382.07
120,Surface Food,Belleza,268.87
121,Education Article,Libros,288.82
122,Effect Unit,Jardín,663.56
123,Your Bar,Libros,159.02
124,Bed Sign,Deportes,221.61
125,Mention Team,Electrónica,581.28
126,Authority Soon,Jardín,65.65
127,No Space,Juguetes,61.88
128,Car Career,Automotriz,479.4
129,Receive May,Jardín,161.64
130,Often Company,Jardín,84.71
131,Evidence News,Ropa,73.18
132,Turn Policy,Hogar,676.83
133,Land Development,Alimentos,406.75
134,Notice Someone,Automotriz,249.98
135,Show Road,Automotriz,44.54
136,Deep Sell,Hogar,422.12
137,Forget Inside,Automotriz,567.4
138,Remain Rate,Juguetes,935.02
139,Left We,Alimentos,671.37
140,Nation Live,Juguetes,242.49
141,Camera End,Belleza,135.22
142,Down Attack,Deportes,459.93
143,Ground Against,Hogar,14.27
144,Per Once,Automotriz,998.45
145,Drug Per,Hogar,77.89
146,Account Avoid,Alimentos,508.35
147,Second Program,Ropa,933.58
148,Artist Drop,Hogar,879.87
149,Author Western,Juguetes,288.56
