id_venta,fecha,id_cliente,id_producto,cantidad
1,20/09/2025,419,29,1
2,2025-02-08 21:29:57,178,140,2
3,2025-05-10 08:28:15,303,24,4
4,2025-04-21 23:39:41,280,144,4
5,2025-10-25,338,57,8
6,10-03-2025,373,88,5
7,2025-12-21 09:37:51,320,89,10
8,2025-03-02 04:32:41,292,118,9
9,2025-07-03 10:40:27,166,21,9
10,2025-02-09 07:00:03,473,93,10
11,2025-04-19 10:32:10,309,170,4
12,08-02-2025,38,60,2
13,2025-02-08 22:10:40,318,69,2
14,2025-04-12 05:56:57,26,187,4
15,2025-09-24 07:59:45,276,164,9
16,2025-08-16 08:20:21,375,197,1
17,2025/04/20 09:44,90,81,7
18,2025-09-02 23:24:19,337,128,7
19,2025-11-21 20:26:19,493,36,4
20,2025-02-01 21:14:44,159,150,7
21,2025-11-20,286,36,9
22,"Oct 11, 2025",149,175,7
23,2025-06-03 04:10:14,336,142,1
24,2025-03-27 23:20:12,482,193,5
25,01-14-2026,25,112,3
26,2025-06-01 23:15:48,403,28,5
27,2025-03-04 05:52:54,412,40,6
28,2025-03-06 21:48:24,363,136,1
29,05/12/2025,53,29,6
30,2025-09-07 02:31:11,484,188,8
31,2025-11-20 04:40:28,308,197,3
32,2025-10-23 09:39:01,60,141,3
33,2025-08-13 19:38:06,197,109,4
34,2026-01-20 14:31:36,407,52,5
35,2025-06-17 18:50:39,204,96,8
36,2025/08/19 12:18,381,58,2
37,2025/11/28,415,182,1
38,2025-09-12 07:48:00,138,72,8
39,"Dec 10, 2025",325,147,10
40,2025-08-28 12:53:58,173,169,7
41,2025-10-14 23:47:29,170,187,1
42,2025-02-15 12:21:13,491,16,7
43,2025-04-23 06:55:31,434,64,4
44,2025-05-15 10:08:29,317,109,3
45,2025/02/28 20:02,440,20,8
46,2025-04-24 06:03:18,463,193,4
47,2025-03-07,492,55,7
48,2025-05-11 15:24:04,395,117,5
49,19/09/2025,402,143,8
50,"Jun 12, 2025",87,16,6
51,2025-06-14 02:55:00,396,15,9
52,2025-04-16 08:33:48,143,153,2
53,2025-05-07 21:04:40,164,146,4
54,2026-01-06 23:56:03,213,21,7
55,2025-09-23 07:26:12,222,81,5
56,09-09-2025,406,62,5
57,2025-04-02 16:41:08,444,19,1
58,10-23-2025,386,26,2
59,2025/03/30 10:22,143,63,6
60,2025-06-17 00:17:05,346,168,9
61,2026-01-26,242,77,2
62,09-20-2025,428,155,4
63,2025-08-21 23:05:36,22,14,2
64,2025-10-06 12:08:39,220,12,1
65,2025-12-03 16:05:12,15,68,3
66,09/11/2025,103,144,1
67,04-23-2025,255,142,3
68,2025-02-10 07:38:55,46,11,6
69,2025-05-25 20:23:05,449,27,6
70,2025-05-07 08:37:09,65,159,3
71,04-17-2025,165,46,7
72,2026/01/09,18,189,4
73,2025-12-15 16:45:32,266,57,4
74,2025-05-24 00:51:41,128,59,4
75,2025-09-26 02:31:39,44,85,5
76,2025-06-23 14:33:06,299,90,9
77,12-29-2025,375,138,6
78,2025-07-16 21:43:13,493,10,2
79,2025-05-06 22:04:17,292,81,7
80,"Apr 30, 2025",414,99,10
81,2025-08-22 13:15:39,104,176,4
82,2025-05-05 22:41:18,480,171,6
83,2025-08-31 18:27:49,94,32,5
84,2025-12-23 10:45:52,66,84,7
85,2025-06-24 06:20:10,332,108,7
86,2025-04-20 00:00:53,459,104,9
87,2026-01-29 22:05:16,237,111,10
88,2025-08-03 07:46:50,382,114,8
89,2025/03/04 23:59,208,189,3
90,16/02/2025,111,193,4
91,2025-03-11 16:34:52,295,157,2
92,2025-09-16 13:58:48,40,148,4
93,2025-11-15 03:52:50,291,38,1
94,03/07/2025,286,46,9
95,2025-02-22 20:20:59,151,119,9
96,2025-06-18 22:18:21,216,194,8
97,2026-01-28 19:56:50,178,130,7
98,11/08/2025,149,191,8
99,"Jan 19, 2026",363,134,8
100,10/12/2025,135,86,6
101,2025-02-03 15:06:17,352,55,2
102,"Oct 20, 2025",87,120,7
103,2025-10-05 20:57:36,60,179,1
104,2025-08-13 14:11:56,380,91,5
105,2025-05-07 19:53:02,416,108,9
106,"Sep 20, 2025",370,57,8
107,2025-03-11 17:01:01,433,104,3
108,2025-07-07 14:20:45,179,137,1
109,2025-07-14 23:24:06,131,7,2
110,01-13-2026,298,119,3
111,2025-12-15,39,98,5
112,2025-05-06,102,90,4
113,"Jul 31, 2025",88,6,10
114,2025/04/05 13:25,353,120,5
115,2025-12-29 03:56:08,363,42,5
116,2025-12-13 13:39:52,8,80,10
117,2025-05-18 21:33:27,489,51,2
118,2025-09-20 10:58:49,392,63,2
119,2025-09-09 01:29:43,319,31,10
120,2025-03-26 02:30:38,160,170,6
121,11-04-2025,81,4,7
122,2025-08-14 06:24:46,315,40,7
123,2025-11-10 22:25:28,73,167,5
124,2025-08-11 16:55:31,104,199,8
125,2025-01-30 11:44:05,402,152,5
126,"May 28, 2025",408,23,5
127,06/02/2025,432,8,8
128,04/01/2026,205,153,5
129,2025-12-16 17:20:02,147,143,4
130,"Nov 29, 2025",148,115,1
131,2025-05-22 20:09:04,385,95,8
132,2025-02-20 12:02:37,311,191,9
133,16/12/2025,355,70,5
134,"Jan 10, 2026",216,196,3
135,2025-03-02 10:18:13,39,135,10
136,2025-07-26 08:16:56,341,50,5
137,2025-02-24,459,4,9
138,2025-11-03 03:44:06,64,164,8
139,2025-11-05 17:25:46,114,73,8
140,2025/03/17,344,14,5
141,2025/07/22 05:31,40,176,1
142,2025-08-18 15:09:08,377,31,9
143,2025-05-06 19:01:34,96,159,4
